Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
270,Noah Vonleh\vonleno01,POR,$2751360,$3505233,,,,,1st Round Pick,$6256593
271,Frank Kaminsky\kaminfr01,CHO,$2730000,$2847600,$3627842,,,,1st round pick,$5577600
272,Dennis Schroder\schrode01,ATL,$2708582,$2708582,$2708582,$2708582,$2708582,,1st Round Pick,$13542910
273,Jakob Poeltl\poeltja01,TOR,$2703960,$2825640,$2947320,$3754886,,,1st Round pick,$5529600
274,Aaron Brooks\brookaa01,IND,$2700000,,,,,,Cap Space,$2700000
275,Elfrid Payton\paytoel01,ORL,$2613600,$3332340,,,,,1st Round Pick,$5945940
276,Justise Winslow\winslju01,MIA,$2593440,$2705040,$3448926,,,,1st round pick,$5298480
277,Thon Maker\makerth01,MIL,$2568600,$2684160,$2799720,$3569643,,,1st Round pick,$5252760
278,Ronnie Price\pricero01,OKC,$2557545,$2442455,,,,,,$5000000
279,Richard Jefferson\jefferi01,CLE,$2500000,$2500000,$2612500,,,,Cap Space,$5000000
280,Randy Foye\foyera01,BRK,$2500000,,,,,,Cap Space,$2500000
281,Malcolm Delaney\delanma01,ATL,$2500000,$2500000,,,,,Room Exception,$5000000
282,Doug McDermott\mcderdo01,CHI,$2483040,$3294994,,,,,1st Round Pick,$5778034
283,Myles Turner\turnemy01,IND,$2463840,$2569920,$3410284,,,,1st round pick,$5033760
284,Domantas Sabonis\sabondo01,OKC,$2440200,$2550000,$2659800,$3529555,,,1st Round pick,$4990200
285,Shelvin Mack\macksh01,UTA,$2433334,,,,,,,
286,Tony Snell\snellto01,MIL,$2368327,,,,,,1st Round Pick,$2368327
287,Gorgui Dieng\dienggo01,MIN,$2348783,$14112360,$15170787,$16229213,$17287640,,1st Round Pick,$65148783
288,Trey Lyles\lylestr01,UTA,$2340600,$2441400,$3364249,,,,1st round pick,$4782000
289,Mason Plumlee\plumlma01,POR,$2328530,,,,,,1st Round Pick,$2328530
290,Dario Saric\saricda01,PHI,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
291,Taurean Waller-Prince\princta02,ATL,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
292,Tim Hardaway\hardati02,ATL,$2281605,,,,,,1st Round Pick,$2281605
293,Reggie Bullock\bullore01,DET,$2255644,,,,,,1st Round Pick,$2255644
294,Joe Ingles\inglejo01,UTA,$2250000,,,,,,Cap Space,$2250000
295,Zach LaVine\lavinza01,MIN,$2240880,$3202217,,,,,1st Round Pick,$5443097
296,Devin Booker\bookede01,PHO,$2223600,$2319360,$3314365,,,,1st round pick,$4542960
297,Luc Mbah a Moute\mbahalu01,LAC,$2203000,$2302135,,,,,Bi-annual Exception,$2203000
298,Georgios Papagiannis\papagge01,SAC,$2202240,$2301360,$2400480,$3430288,,,1st Round pick,$4503600
299,Mo Williams\willima01,CLE,$2200000,,,,,,Mini MLE,$2200000
300,Andre Roberson\roberan03,OKC,$2183072,,,,,,1st Round Pick,$2183072
301,T.J. Warren\warretj01,PHO,$2128920,$3152931,,,,,1st Round Pick,$5281851
302,Rudy Gobert\goberru01,UTA,$2121288,$21224719,$22741573,$24258427,$25775281,,1st Round Pick,$96121288
303,Cameron Payne\payneca01,OKC,$2112480,$2203440,$3263295,,,,1st round pick,$4315920
304,Archie Goodwin\goodwar01,PHO,$2094089,,,,,,,$2094089
305,Denzel Valentine\valende01,CHI,$2092200,$2186400,$2280600,$3377569,,,1st Round pick,$4278600
306,Tim Frazier\fraziti01,NOP,$2090000,$2000000,,,,,Room exception,$4090000
307,Adreian Payne\paynead01,MIN,$2022240,,,,,,1st Round Pick,$2022240
308,Kelly Oubre\oubreke01,WAS,$2006640,$2093040,$3208630,,,,1st round pick,$4099680
309,Vince Carter\cartevi01,MEM,$4264057,,,,,,,$2000000
310,Juan Hernangomez\hernaju01,DEN,$1987440,$2076840,$2166360,$3321030,,,1st Round pick,$4064280
311,Anderson Varejao\varejan01,POR,$1984005,$1984005,$1984005,$1984005,$1984005,,,$9920025
312,Lucas Nogueira\noguelu01,TOR,$1921320,$2947305,,,,,1st Round Pick,$4868625
313,Jusuf Nurkic\nurkiju01,DEN,$1921320,$2947305,,,,,1st Round Pick,$4868625
314,Terry Rozier\roziete01,BOS,$1906440,$1988520,$3050390,,,,1st round pick,$3894960
315,Tim Duncan\duncati01,SAS,$1881250,$1881250,$1881250,,,,,$5643750
316,Larry Sanders\sandela01,MIL,$1865547,$1865547,$1865547,$1865547,$1865547,,,$11193282
317,James Young\youngja01,BOS,$1825200,,,,,,1st Round Pick,$1825200
318,Rashad Vaughn\vaughra01,MIL,$1811040,$1889040,$2901565,,,,1st round pick,$3700080
319,Kevin Seraphin\serapke01,IND,$1800000,$1881000,,,,,Cap Space,$1800000
320,Wade Baldwin\baldwwa01,MEM,$1793760,$1874400,$1955160,$3003126,,,1st Round pick,$3668160
321,Tyler Ennis\ennisty01,HOU,$1733880,,,,,,1st Round Pick,$1733880
322,Sam Dekker\dekkesa01,HOU,$1720560,$1794600,$2760095,,,,1st Round pick,$3515160
323,Joffrey Lauvergne\lauvejo01,OKC,$1709720,,,,,,MLE,$1709720
324,Henry Ellenson\ellenhe01,DET,$1704120,$1780800,$1857480,$2856804,,,1st Round pick,$3484920
325,Gary Harris\harriga01,DEN,$1655880,$2550055,,,,,1st Round Pick,$4205935
326,Jerian Grant\grantje02,CHI,$1643040,$1713840,$2639314,,,,1st Round pick,$3356880
327,Malik Beasley\beaslma01,DEN,$1627320,$1700640,$1773840,$2731714,,,1st Round pick,$3327960
328,Bruno Caboclo\cabocbr01,TOR,$1589640,$2451225,,,,,1st Round Pick,$4040865
329,Delon Wright\wrighde01,TOR,$1577280,$1645200,$2536898,,,,1st Round pick,$3222480
330,Caris LeVert\leverca01,BRK,$1562280,$1632480,$1702800,$2625718,,,1st Round pick,$3194760
331,David Lee\leeda02,SAS,$1551659,$1605967,,,,,Minimum Salary,$1551659
332,Lou Amundson\amundlo01,NYK,$1551659,,,,,,,$1551659
333,Steve Novak\novakst01,MIL,$1551659,,,,,,Minimum Salary,$1551659
334,Jason Terry\terryja01,MIL,$1551659,,,,,,Minimum Salary,$1551659
335,Metta World Peace\artesro01,LAL,$1551659,,,,,,,
336,Brandon Bass\bassbr01,LAC,$1551659,,,,,,Minimum Salary,$1551659
337,Raymond Felton\feltora01,LAC,$1551659,,,,,,Minimum Salary,$1551659
338,Anderson Varejao\varejan01,GSW,$1551659,,,,,,Minimum Salary,$1551659
339,David West\westda01,GSW,$1551659,,,,,,Minimum Salary,$1551659
340,Beno Udrih\udrihbe01,DET,$1551659,,,,,,Minimum Salary,$1551659
341,Chris Andersen\anderch01,CLE,$1551659,,,,,,Minimum Salary,$1551659
342,James Jones\jonesja02,CLE,$1551659,,,,,,Minimum Salary,$1551659
343,Jarrett Jack\jackja01,ATL,$1551659,,,,,,,$1551659
344,Mitch McGary\mcgarmi01,OKC,$1526040,,,,,,,$1526040
345,Justin Anderson\anderju01,DAL,$1514160,$1579440,$2516048,,,,1st Round pick,$3093600
346,Marcelo Huertas\huertma01,LAL,$1500000,$1567500,,,,,Cap Space,$1500000
347,DeAndre' Bembry\bembrde01,ATL,$1499760,$1567200,$1634640,$2603982,,,1st Round pick,$3066960
348,Jordan Adams\adamsjo01,MEM,$1465080,,,,,,,$1465080
349,Bobby Portis\portibo01,CHI,$1453680,$1516320,$2494346,,,,1st Round pick,$2970000
350,Demetrius Jackson\jacksde01,BOS,$1450000,$1384750,$1319500,$1319500,,,Cap Space,$2100000
351,Malachi Richardson\richama01,SAC,$1439880,$1504560,$1569360,$2581597,,,1st Round pick,$2944440
352,Sasha Vujacic\vujacsa01,NYK,$1410598,,,,,,Minimum Salary,$1410598
353,Gerald Green\greenge01,BOS,$1410598,,,,,,Minimum Salary,$1410598
354,Rodney Hood\hoodro01,UTA,$1406520,$2386864,,,,,1st Round Pick,$3793384
355,John Lucas III\lucasjo02,MIN,$1403611,,,,,,,
356,Michael Beasley\beaslmi01,MIL,$1403611,,,,,,Minimum Salary,$1403611
357,Marreese Speights\speigma01,LAC,$1403611,$1459969,,,,,Minimum Salary,$1403611
358,JaVale McGee\mcgeeja01,GSW,$1403611,,,,,,Minimum Salary,$250000
359,Alonzo Gee\geeal01,NOP,$1400000,,,,,,,$1400000
360,Rondae Hollis-Jefferson\holliro01,BRK,$1395600,$1455720,$2470357,,,,1st Round pick,$2851320
361,Willy Hernangomez\hernawi01,NYK,$1375000,$1435750,$1496500,$1557250,,,Cap Space,$4307250
362,Deyonta Davis\davisde01,MEM,$1369229,$1307614,$1245999,,,,Cap Space,$3922842
363,Kevin Martin\martike02,MIN,$1360305,$1360305,$1360305,,,,,$4080915
364,Nikola Jokic\jokicni01,DEN,$1358500,$1417000,$1475500,,,,,$2775500
365,Shabazz Napier\napiesh01,POR,$1350120,$2361360,,,,,1st Round Pick,$3711480
366,Tyus Jones\jonesty01,MIN,$1339680,$1397400,$2444053,,,,1st Round pick,$2737080
367,Sasha Kaun\kaunsa01,PHI,$1333420,,,,,,,$1333420
368,Timothe Luwawu-Cabarrot\luwawti01,PHI,$1326960,$1386600,$1446360,$2529684,,,1st Round pick,$2713560
369,Marcus Thornton\thornma01,WAS,$1315448,,,,,,Minimum Salary,$1315448
370,Ty Lawson\lawsoty01,SAC,$1315448,,,,,,,
371,Alan Anderson\anderal01,LAC,$1315448,,,,,,Minimum Salary,$1315448
